38 Province,,
,Unemployment Rate by Province (Percent),
,2008,
,February,August
ACEH,9.2,9.56
SUMATERA UTARA,9.55,9.1
SUMATERA BARAT,9.73,8.04
RIAU,9.35,8.2
JAMBI,5.91,5.14
SUMATERA SELATAN,8.45,8.08
BENGKULU,3.98,4.9
LAMPUNG,6.3,7.15
KEP. BANGKA BELITUNG,5.79,5.99
KEP. RIAU,8.49,8.01
DKI JAKARTA,11.06,12.16
JAWA BARAT,12.28,12.08
JAWA TENGAH,7.12,7.35
DI YOGYAKARTA,6.04,5.38
JAWA TIMUR,6.24,6.42
BANTEN,14.15,15.18
BALI,4.56,3.31
NUSA TENGGARA BARAT,5.2,6.13
NUSA TENGGARA TIMUR,3.7,3.73
KALIMANTAN BARAT,6.49,5.41
KALIMANTAN TENGAH,4.79,4.59
KALIMANTAN SELATAN,6.91,6.18
KALIMANTAN TIMUR,11.41,11.11
KALIMANTAN UTARA,-,-
SULAWESI UTARA,12.35,10.65
SULAWESI TENGAH,7.25,5.45
SULAWESI SELATAN,10.49,9.04
SULAWESI TENGGARA,6.05,5.73
GORONTALO,7.04,5.65
SULAWESI BARAT,5.68,4.57
MALUKU,11.05,10.67
MALUKU UTARA,7.03,6.48
PAPUA BARAT,9.3,7.65
PAPUA BARAT DAYA,-,-
PAPUA,4.85,4.39
PAPUA SELATAN,-,-
PAPUA TENGAH,-,-
PAPUA PEGUNUNGAN,-,-
INDONESIA,8.46,8.39